method,case_id,python_executable,python_version,implementation,platform,zstd_available,availability_reason,expected_classification,actual_classification,api_exercised,input_bytes,compressed_bytes,decompressed_bytes,roundtrip_match,frame_count,eof,needs_input,unused_data_bytes,exception_type,exception_message,sha256_input,sha256_compressed,elapsed_s,skip_reason,failure_reason,local_conclusion
one_shot_operation,zstd_bytesio_file_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000003,,,
incremental_or_stream_operation,zstd_bytesio_file_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_bytesio_file_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000004,,,"file-like streams, no permanent FS writes"
inspect_api,zstd_raw_dictionary_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_raw_dictionary_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
incremental_or_stream_operation,zstd_raw_dictionary_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000003,,,
hn_context_observation,zstd_raw_dictionary_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000004,,,"dictionaries help with repeated substrings, not meaning (HN: duskwuff)"
inspect_api,zstd_state_mutation_context_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_state_mutation_context_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,,,
incremental_or_stream_operation,zstd_state_mutation_context_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_state_mutation_context_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",context_only,context_only,context,49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000004,,,HN context case
inspect_api,zlib_dictionary_and_copy_comparison_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,zlib.compressobj zdict_param_checked=True Compress.copy_available=True,25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000493,,,zlib zdict+copy predates Python 3.14 per HN
one_shot_operation,zlib_dictionary_and_copy_comparison_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,zlib.compressobj(zdict=...) + Compress.copy(),25,19,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000601,,,"zlib dict+copy works, out1=19 out2=19"
incremental_or_stream_operation,zlib_dictionary_and_copy_comparison_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,zlib.Compress.copy(),25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000417,,,Compress.copy() available
hn_context_observation,zlib_dictionary_and_copy_comparison_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",context_only,context_only,context,25,,,,,,,,,,b81a9f3120593be96c332f135a31fb552f940329691c6d4fde0649c8548f3c2f,,0.000014,,,HN context case
inspect_api,lexical_overlap_not_semantics_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,"zlib.compress (fallback, zstd unavailable)",20,,,,,,,,,,ee33b402a58ddc1bf969c9dc3fc9217dc7eb9bd21a490a0447f45dbf70b93c02,,0.000010,,,API symbols probed
one_shot_operation,lexical_overlap_not_semantics_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,zlib.compress fallback,20,188,,,,,,,,,ee33b402a58ddc1bf969c9dc3fc9217dc7eb9bd21a490a0447f45dbf70b93c02,,0.000956,,,"sizes=[42, 45, 55, 46] (lexical overlap, not semantics)"
incremental_or_stream_operation,lexical_overlap_not_semantics_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,20,,,,,,,,,,ee33b402a58ddc1bf969c9dc3fc9217dc7eb9bd21a490a0447f45dbf70b93c02,,0.000012,,,
hn_context_observation,lexical_overlap_not_semantics_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,20,,,,,,,,,,ee33b402a58ddc1bf969c9dc3fc9217dc7eb9bd21a490a0447f45dbf70b93c02,,0.000014,,,"compressed size measures lexical overlap / substring repetition / length / backref distance, not semantics (HN: duskwuff, srean, Jaxan)"
inspect_api,no_global_compression_classifier_claim_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,pass,"README/RESULTS text scan (stub, checked in test_lab.py)",0,,,,,,,,,,,,0.000006,,,narrow disclaimer required
one_shot_operation,no_global_compression_classifier_claim_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,0,,,,,,,,,,,,0.000005,,,
incremental_or_stream_operation,no_global_compression_classifier_claim_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,0,,,,,,,,,,,,0.000004,,,
hn_context_observation,no_global_compression_classifier_claim_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",context_only,context_only,context,0,,,,,,,,,,,,0.000007,,,HN context case
