method,case_id,python_executable,python_version,implementation,platform,zstd_available,availability_reason,expected_classification,actual_classification,api_exercised,input_bytes,compressed_bytes,decompressed_bytes,roundtrip_match,frame_count,eof,needs_input,unused_data_bytes,exception_type,exception_message,sha256_input,sha256_compressed,elapsed_s,skip_reason,failure_reason,local_conclusion
one_shot_operation,zstd_incremental_continue_flush_frame_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000003,,,
incremental_or_stream_operation,zstd_incremental_continue_flush_frame_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_incremental_continue_flush_frame_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000004,,,incremental compression exists in lower-level APIs too (HN: pornel)
inspect_api,zstd_flush_block_then_finish_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),50,,,,,,,,,,4852d36b33c6534a98698a789729e1c35eeceef6980fd42b267d2d8241de7dca,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_flush_block_then_finish_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,50,,,,,,,,,,4852d36b33c6534a98698a789729e1c35eeceef6980fd42b267d2d8241de7dca,,0.000003,,,
incremental_or_stream_operation,zstd_flush_block_then_finish_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),50,,,,,,,,,,4852d36b33c6534a98698a789729e1c35eeceef6980fd42b267d2d8241de7dca,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_flush_block_then_finish_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,50,,,,,,,,,,4852d36b33c6534a98698a789729e1c35eeceef6980fd42b267d2d8241de7dca,,0.000004,,,Python API limits != algorithm limits (HN: pornel)
inspect_api,zstd_concatenated_frames_module_decompress_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_concatenated_frames_module_decompress_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
incremental_or_stream_operation,zstd_concatenated_frames_module_decompress_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000003,,,
hn_context_observation,zstd_concatenated_frames_module_decompress_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000004,,,frame boundaries are real
inspect_api,zstd_single_frame_unused_data_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
